Gene,Description,Case PTV,Control PTV,Case Missense (MPC ≥ 3),Control Missense (MPC ≥ 3),Case Missense (2 ≤ MPC < 3),Control Missense (2 ≤ MPC < 3),De novo PTV,De Novo Missense (MPC ≥ 3),De Novo Missense (2 ≤ MPC < 3),P meta,Q meta,OR (Class I),OR (Class II)
ENSG00000112685,exocyst complex component 2,6,43,0,8,0,0,,,,0.111,1,0.472,
ENSG00000128652,homeobox D3,3,6,0,0,4,11,,,,0.111,1,2.01,1.46
ENSG00000143412,annexin A9,6,51,0,0,0,0,,,,0.111,1,0.472,
ENSG00000149418,suppression of tumorigenicity 14,0,13,0,0,0,0,,,,0.111,1,0,
ENSG00000163349,homeodomain interacting protein kinase 1,6,9,0,0,4,11,,,,0.111,1,2.68,1.46
ENSG00000165124,"sushi, von Willebrand factor type A, EGF and pentraxin domain containing 1",15,38,0,0,3,3,,,,0.111,1,1.58,4.01
ENSG00000174953,DEAH-box helicase 36,10,18,0,0,0,0,,,,0.111,1,2.23,
ENSG00000175182,family with sequence similarity 131 member A,3,4,0,0,0,0,,,,0.111,1,3.01,
ENSG00000184863,RNA binding motif protein 33,4,3,0,0,0,1,,,,0.111,1,5.35,0
ENSG00000186310,nucleosome assembly protein 1 like 3,2,2,0,0,0,0,,,,0.111,1,4.01,
ENSG00000198417,metallothionein 1F,2,2,0,0,0,0,,,,0.111,1,4.01,
ENSG00000204174,neuropeptide Y receptor Y4,1,21,0,0,0,0,,,,0.111,1,0.191,
ENSG00000205531,nucleosome assembly protein 1 like 4,3,3,0,0,0,0,,,,0.111,1,4.01,
ENSG00000023909,glutamate-cysteine ligase modifier subunit,4,4,0,0,0,0,,,,0.112,1,4.01,
ENSG00000043591,adrenoceptor beta 1,4,4,0,0,0,0,,,,0.112,1,4.01,
ENSG00000081019,round spermatid basic protein 1,7,13,0,0,6,35,,,,0.112,1,2.16,0.688
ENSG00000103047,transport and golgi organization 6 homolog,13,27,0,0,0,0,,,,0.112,1,1.93,
ENSG00000103549,ring finger protein 40,6,14,0,0,5,7,,,,0.112,1,1.72,2.87
ENSG00000129993,CBFA2/RUNX1 partner transcriptional co-repressor 3,2,5,0,0,1,1,,,,0.112,1,1.61,4.01
ENSG00000132141,chaperonin containing TCP1 subunit 6B,4,32,0,0,0,0,,,,0.112,1,0.502,
ENSG00000133895,menin 1,2,1,0,0,19,62,,,,0.112,1,8.03,1.23
ENSG00000141568,forkhead box K2,1,11,0,0,5,22,,,,0.112,1,0.365,0.912
ENSG00000154478,G protein-coupled receptor 26,3,6,0,0,11,22,,,,0.112,1,2.01,2.01
ENSG00000156162,dpy-19 like 4,21,56,0,0,0,0,,,,0.112,1,1.51,
ENSG00000159363,ATPase cation transporting 13A2,16,35,0,0,0,0,,,,0.112,1,1.84,
ENSG00000162639,HEN methyltransferase 1,2,28,0,0,0,0,,,,0.112,1,0.43,
ENSG00000165434,phosphoglucomutase 2 like 1,1,20,0,0,1,2,,,,0.112,1,0.201,2.01
ENSG00000169057,methyl-CpG binding protein 2,4,6,0,0,0,0,,,,0.112,1,2.68,
ENSG00000185385,olfactory receptor family 7 subfamily A member 17,0,14,0,0,0,0,,,,0.112,1,0,
ENSG00000187840,eukaryotic translation initiation factor 4E binding protein 1,2,1,0,0,0,0,,,,0.112,1,8.03,
ENSG00000196502,sulfotransferase family 1A member 1,14,26,5,15,3,24,,,,0.112,1,1.86,0.502
ENSG00000002746,"HECT, C2 and WW domain containing E3 ubiquitin protein ligase 1",8,18,0,0,0,0,,,,0.113,1,1.78,
ENSG00000088538,dedicator of cytokinesis 3,6,8,0,0,0,0,,,,0.113,1,3.01,
ENSG00000114767,"ribosomal RNA processing 9, U3 small nucleolar RNA binding protein",7,10,0,0,0,0,,,,0.113,1,2.81,
ENSG00000119227,phosphatidylinositol glycan anchor biosynthesis class Z,12,29,0,0,0,0,,,,0.113,1,1.66,
ENSG00000130396,"afadin, adherens junction formation factor",6,16,0,2,5,12,,,,0.113,1,1.34,1.67
ENSG00000131899,LLGL scribble cell polarity complex component 1,10,24,0,0,0,0,,,,0.113,1,1.67,
ENSG00000139737,SLAIN motif family member 1,5,3,0,0,0,0,,,,0.113,1,6.69,
ENSG00000139746,RNA binding motif protein 26,4,4,0,0,0,0,,,,0.113,1,4.01,
ENSG00000140839,C-type lectin domain family 18 member B,2,23,0,0,0,0,,,,0.113,1,0.349,
ENSG00000146457,WT1 associated protein,3,6,0,0,1,2,,,,0.113,1,2.01,2.01
ENSG00000147378,fetal and adult testis expressed 1,5,8,0,0,0,0,,,,0.113,1,2.51,
ENSG00000147459,dedicator of cytokinesis 5,10,65,0,0,0,0,,,,0.113,1,0.617,
ENSG00000148925,BTB domain containing 10,4,7,0,0,7,19,,,,0.113,1,2.29,1.48
ENSG00000150627,WD repeat domain 17,26,67,0,0,0,0,,,,0.113,1,1.56,
ENSG00000157856,dynein regulatory complex subunit 1,4,45,0,0,0,0,,,,0.113,1,0.357,
ENSG00000164647,STEAP family member 1,10,20,1,8,2,19,,,,0.113,1,1.58,0.422
ENSG00000172531,protein phosphatase 1 catalytic subunit alpha,4,6,0,3,8,31,,,,0.113,1,1.78,1.04
ENSG00000175395,zinc finger protein 25,4,33,0,0,0,0,,,,0.113,1,0.486,
ENSG00000176390,cytokine receptor like factor 3,7,17,0,0,0,0,,,,0.113,1,1.65,
ENSG00000188811,NHL repeat containing 3,7,18,0,0,0,0,,,,0.113,1,1.56,
ENSG00000254656,retrotransposon Gag like 1,5,8,0,0,0,0,,,,0.113,1,2.51,
ENSG00000118473,SH3GL interacting endocytic adaptor 1,2,4,0,0,0,0,,,,0.114,1,2.01,
ENSG00000125166,glutamic-oxaloacetic transaminase 2,0,12,0,0,0,0,,,,0.114,1,0,
ENSG00000130775,thymocyte selection associated family member 2,10,18,0,0,0,0,,,,0.114,1,2.23,
ENSG00000136273,HUS1 checkpoint clamp component,9,19,0,0,0,0,,,,0.114,1,1.9,
ENSG00000141873,solute carrier family 39 member 3,5,7,0,0,0,0,,,,0.114,1,2.87,
ENSG00000147234,FERM and PDZ domain containing 3,3,24,0,0,5,14,,,,0.114,1,0.502,1.43
ENSG00000150244,tripartite motif containing 48,4,30,0,0,0,0,,,,0.114,1,0.535,
ENSG00000157077,zinc finger FYVE-type containing 9,7,22,0,0,3,2,,,,0.114,1,1.28,6.02
ENSG00000164172,molybdenum cofactor synthesis 2,0,11,0,0,0,0,,,,0.114,1,0,
ENSG00000166342,neuropilin and tolloid like 1,4,9,0,0,1,0,,,,0.114,1,1.78,Infinity
ENSG00000168283,"BMI1 proto-oncogene, polycomb ring finger",6,13,0,0,0,1,,,,0.114,1,1.85,0
ENSG00000169592,INO80 complex subunit E,3,4,0,0,0,0,,,,0.114,1,3.01,
ENSG00000179431,four-jointed box kinase 1,2,2,0,0,0,0,,,,0.114,1,4.01,
ENSG00000185127,chromosome 6 open reading frame 120,4,6,0,0,0,0,,,,0.114,1,2.68,
ENSG00000187266,erythropoietin receptor,6,12,0,0,2,6,,,,0.114,1,2.01,1.34
ENSG00000261359,PYCARD antisense RNA 1,2,2,0,0,4,7,,,,0.114,1,4.01,2.29
ENSG00000007520,TSR3 ribosome maturation factor,1,21,0,0,0,0,,,,0.115,1,0.191,
ENSG00000104133,"SPG11 vesicle trafficking associated, spatacsin",53,154,0,0,0,0,,,,0.115,1,1.38,
ENSG00000107159,carbonic anhydrase 9,15,32,0,0,0,0,,,,0.115,1,1.88,
ENSG00000111252,SH2B adaptor protein 3,1,21,0,0,0,0,,,,0.115,1,0.191,
ENSG00000112337,solute carrier family 17 member 2,6,11,0,0,0,0,,,,0.115,1,2.19,
ENSG00000112701,SUMO specific peptidase 6,4,12,0,0,0,0,,,,0.115,1,1.34,
ENSG00000115598,interleukin 1 receptor like 2,16,38,0,0,0,0,,,,0.115,1,1.69,
ENSG00000120899,protein tyrosine kinase 2 beta,5,45,0,0,0,0,,,,0.115,1,0.446,
ENSG00000129270,,4,5,0,0,0,0,,,,0.115,1,3.21,
ENSG00000132669,Ras and Rab interactor 2,1,20,0,0,0,0,,,,0.115,1,0.201,
ENSG00000143320,cellular retinoic acid binding protein 2,6,10,0,0,0,0,,,,0.115,1,2.41,
ENSG00000144410,carboxypeptidase O,10,22,0,0,0,0,,,,0.115,1,1.82,
ENSG00000164199,adhesion G protein-coupled receptor V1,36,195,0,0,0,0,,,,0.115,1,0.741,
ENSG00000167077,meiotic double-stranded break formation protein 1,9,66,0,0,0,0,,,,0.115,1,0.547,
ENSG00000168395,inhibitor of growth family member 5,3,5,0,0,2,4,,,,0.115,1,2.41,2.01
ENSG00000168795,zinc finger and BTB domain containing 5,8,15,0,0,0,0,,,,0.115,1,2.14,
ENSG00000171136,relaxin 3,0,11,0,0,0,0,,,,0.115,1,0,
ENSG00000177675,CD163 molecule like 1,12,74,0,0,0,0,,,,0.115,1,0.651,
ENSG00000205174,chromosome 7 open reading frame 66,2,5,0,0,0,0,,,,0.115,1,1.61,
ENSG00000006451,RAS like proto-oncogene A,2,0,0,0,3,6,,,,0.116,1,Infinity,2.01
ENSG00000108576,solute carrier family 6 member 4,4,7,0,0,0,0,,,,0.116,1,2.29,
ENSG00000111358,general transcription factor IIH subunit 3,0,11,0,0,0,0,,,,0.116,1,0,
ENSG00000111536,interleukin 26,0,11,0,0,0,0,,,,0.116,1,0,
ENSG00000113070,heparin binding EGF like growth factor,1,1,0,0,9,18,,,,0.116,1,4.01,2.01
ENSG00000115474,potassium inwardly rectifying channel subfamily J member 13,4,3,0,0,0,0,,,,0.116,1,5.35,
ENSG00000130720,fibrinogen C domain containing 1,0,12,0,0,0,0,,,,0.116,1,0,
ENSG00000138829,fibrillin 2,11,24,0,0,0,0,,,,0.116,1,1.84,
ENSG00000142686,chromosome 1 open reading frame 216,0,12,0,0,0,0,,,,0.116,1,0,
ENSG00000158710,transgelin 2,5,6,0,0,0,0,,,,0.116,1,3.35,
ENSG00000166716,zinc finger protein 592,6,7,0,0,0,0,,,,0.116,1,3.44,
ENSG00000169894,"mucin 3A, cell surface associated",1,21,0,0,0,0,,,,0.116,1,0.191,
ENSG00000177045,SIX homeobox 5,0,13,0,0,6,20,,,,0.116,1,0,1.2
ENSG00000179364,phosphofurin acidic cluster sorting protein 2,4,6,0,0,0,0,,,,0.116,1,2.68,
ENSG00000196072,biogenesis of lysosomal organelles complex 1 subunit 2,3,4,0,0,0,0,,,,0.116,1,3.01,
ENSG00000196565,hemoglobin subunit gamma 2,2,2,1,3,1,7,,,,0.116,1,2.41,0.573
ENSG00000205328,olfactory receptor family 6 subfamily C member 65,2,26,0,0,0,0,,,,0.116,1,0.309,
ENSG00000222014,"RAB6C, member RAS oncogene family",8,10,0,0,0,0,,,,0.116,1,3.21,
ENSG00000253767,"protocadherin gamma subfamily A, 8",6,44,0,0,0,0,,,,0.116,1,0.547,
ENSG00000101746,nucleolar protein 4,3,2,2,5,5,35,,,,0.117,1,2.87,0.573
ENSG00000113749,histamine receptor H2,4,1,0,0,7,19,,,,0.117,1,16.1,1.48
ENSG00000115524,splicing factor 3b subunit 1,2,0,2,8,9,24,,,,0.117,1,2.01,1.51
ENSG00000136444,radical S-adenosyl methionine domain containing 1,5,43,0,0,0,0,,,,0.117,1,0.467,
ENSG00000143294,proline rich mitotic checkpoint control factor,2,1,0,0,5,14,,,,0.117,1,8.03,1.43
ENSG00000162650,ataxin 7 like 2,4,4,0,0,0,0,,,,0.117,1,4.01,
ENSG00000163825,receptor transporter protein 3,6,8,0,0,0,0,,,,0.117,1,3.01,
ENSG00000164808,scaffold protein involved in DNA repair,20,51,0,0,0,0,,,,0.117,1,1.57,
ENSG00000169856,one cut homeobox 1,4,3,0,0,0,3,,,,0.117,1,5.35,0
ENSG00000178084,5-hydroxytryptamine receptor 3C,7,40,0,0,0,0,,,,0.117,1,0.702,
ENSG00000186417,gliomedin,3,28,0,0,0,2,,,,0.117,1,0.43,0
ENSG00000204852,tectonic family member 1,3,35,0,0,0,0,,,,0.117,1,0.344,
ENSG00000254221,"protocadherin gamma subfamily B, 1",3,29,0,0,0,0,,,,0.117,1,0.415,
ENSG00000254470,adaptor related protein complex 5 subunit beta 1,10,18,0,0,0,0,,,,0.117,1,2.23,
ENSG00000010278,CD9 molecule,4,5,0,0,0,0,,,,0.118,1,3.21,
ENSG00000068654,RNA polymerase I subunit A,10,22,1,3,0,0,,,,0.118,1,1.77,
ENSG00000103342,G1 to S phase transition 1,1,0,0,4,9,20,,,,0.118,1,1,1.81
ENSG00000116161,calcyclin binding protein,6,10,0,0,0,0,,,,0.118,1,2.41,
ENSG00000124116,WAP four-disulfide core domain 3,0,15,0,0,0,0,,,,0.118,1,0,
ENSG00000127362,taste 2 receptor member 3,1,20,0,0,0,0,,,,0.118,1,0.201,
ENSG00000131044,tubulin tyrosine ligase like 9,4,35,0,0,0,0,,,,0.118,1,0.459,
ENSG00000135090,TAO kinase 3,5,9,0,0,10,27,,,,0.118,1,2.68,1.64
ENSG00000151718,WW and C2 domain containing 2,14,31,0,0,0,0,,,,0.118,1,1.81,
ENSG00000162999,dual specificity phosphatase 19,7,11,0,0,0,0,,,,0.118,1,2.55,
ENSG00000164465,"discoidin, CUB and LCCL domain containing 1",11,24,0,0,0,0,,,,0.118,1,1.84,
ENSG00000167925,GH3 domain containing,2,24,0,0,0,0,,,,0.118,1,0.334,
ENSG00000168710,adenosylhomocysteinase like 1,3,1,0,2,7,27,,,,0.118,1,4.01,1.04
ENSG00000170832,ubiquitin specific peptidase 32,5,8,3,15,14,37,,,,0.118,1,1.4,1.52
ENSG00000172247,C1q and TNF related 4,2,3,0,0,0,0,,,,0.118,1,2.68,
ENSG00000179057,immunoglobulin superfamily member 22,32,67,0,0,0,0,,,,0.118,1,1.92,
ENSG00000180424,defensin beta 123,4,2,0,0,0,0,,,,0.118,1,8.03,
ENSG00000184698,olfactory receptor family 51 subfamily M member 1,3,30,0,0,0,0,,,,0.118,1,0.401,
ENSG00000214929,SPATA31 subfamily D member 1,12,79,0,0,0,0,,,,0.118,1,0.609,
ENSG00000215568,GRB2 associated binding protein family member 4,4,33,0,0,0,0,,,,0.118,1,0.486,
ENSG00000225362,cancer/testis associated 62,4,6,0,0,0,0,,,,0.118,1,2.68,
ENSG00000087008,"acyl-CoA oxidase 3, pristanoyl",16,44,0,0,0,0,,,,0.119,1,1.46,
ENSG00000101400,syntrophin alpha 1,2,26,0,0,0,0,,,,0.119,1,0.309,
ENSG00000102287,gamma-aminobutyric acid type A receptor subunit epsilon,0,12,0,0,0,0,,,,0.119,1,0,
ENSG00000125657,TNF superfamily member 9,2,1,0,0,0,1,,,,0.119,1,8.03,0
ENSG00000137161,canopy FGF signaling regulator 3,5,6,0,0,0,0,,,,0.119,1,3.35,
ENSG00000142698,chromosome 1 open reading frame 94,7,13,0,0,0,0,,,,0.119,1,2.16,
ENSG00000145908,zinc finger protein 300,8,45,0,0,0,0,,,,0.119,1,0.713,
ENSG00000173264,G protein-coupled receptor 137,7,15,0,0,6,10,,,,0.119,1,1.87,2.41
ENSG00000176055,metallo-beta-lactamase domain containing 2,0,13,0,0,0,0,,,,0.119,1,0,
ENSG00000187860,coiled-coil domain containing 157,17,44,0,0,0,0,,,,0.119,1,1.55,
ENSG00000196844,prostate and testis expressed 2,6,10,0,0,0,0,,,,0.119,1,2.41,
ENSG00000110697,phosphatidylinositol transfer protein membrane associated 1,9,19,0,0,9,26,,,,0.12,1,1.9,1.39
ENSG00000119900,opioid growth factor receptor like 1,9,16,0,0,0,0,,,,0.12,1,2.26,
ENSG00000129625,receptor accessory protein 5,3,5,0,0,0,0,,,,0.12,1,2.41,
ENSG00000139890,RRAD and GEM like GTPase 2,5,11,4,5,0,1,,,,0.12,1,2.26,0
ENSG00000140749,immunoglobulin superfamily member 6,0,13,0,0,0,0,,,,0.12,1,0,
ENSG00000149313,aminoadipate-semialdehyde dehydrogenase-phosphopantetheinyl transferase,9,19,0,0,0,0,,,,0.12,1,1.9,
ENSG00000154222,coiled-coil and C2 domain containing 1B,11,75,0,0,0,0,,,,0.12,1,0.588,
ENSG00000164363,solute carrier family 6 member 18,18,45,0,0,0,0,,,,0.12,1,1.61,
ENSG00000167080,"beta-1,4-N-acetyl-galactosaminyltransferase 2",5,41,0,0,0,0,,,,0.12,1,0.489,
ENSG00000187950,ovochymase 1,30,77,0,0,0,0,,,,0.12,1,1.56,
ENSG00000187987,zinc finger and SCAN domain containing 23,3,5,0,0,0,0,,,,0.12,1,2.41,
ENSG00000188603,"CLN3 lysosomal/endosomal transmembrane protein, battenin",3,31,0,0,0,0,,,,0.12,1,0.388,
ENSG00000196387,zinc finger protein 140,3,29,0,0,0,0,,,,0.12,1,0.415,
ENSG00000205639,major facilitator superfamily domain containing 2B,5,39,0,0,0,0,,,,0.12,1,0.514,
ENSG00000101210,eukaryotic translation elongation factor 1 alpha 2,0,1,3,3,4,20,,,,0.121,1,3.01,0.803
ENSG00000105221,AKT serine/threonine kinase 2,0,11,0,0,12,21,,,,0.121,1,0,2.29
ENSG00000119616,FCF1 rRNA-processing protein,4,7,0,0,0,0,,,,0.121,1,2.29,
ENSG00000122642,FKBP prolyl isomerase 9,3,27,0,5,11,60,,,,0.121,1,0.376,0.736
ENSG00000126243,leucine rich repeat and fibronectin type III domain containing 3,3,2,0,0,6,33,,,,0.121,1,6.02,0.73
ENSG00000129173,E2F transcription factor 8,1,20,0,0,0,0,,,,0.121,1,0.201,
ENSG00000138172,calcium homeostasis modulator family member 2,11,28,0,0,0,0,,,,0.121,1,1.58,
ENSG00000139718,"SET domain containing 1B, histone lysine methyltransferase",1,0,1,0,12,9,,,,0.121,1,Infinity,5.35
ENSG00000144550,copine family member 9,10,26,0,0,1,4,,,,0.121,1,1.54,1
ENSG00000152936,lamin tail domain containing 1,6,24,0,0,0,0,,,,0.121,1,1,
ENSG00000153130,short coiled-coil protein,4,2,0,0,0,0,,,,0.121,1,8.03,
ENSG00000165478,hepatic and glial cell adhesion molecule,2,0,1,1,0,0,,,,0.121,1,12,
ENSG00000172057,ORMDL sphingolipid biosynthesis regulator 3,3,3,0,0,1,2,,,,0.121,1,4.01,2.01
ENSG00000178222,ring finger protein 212,8,18,0,0,0,0,,,,0.121,1,1.78,
ENSG00000183598,H3 clustered histone 13,6,14,6,12,8,23,,,,0.121,1,1.85,1.4
ENSG00000185721,developmentally regulated GTP binding protein 1,5,5,0,0,6,26,,,,0.121,1,4.01,0.926
ENSG00000189108,interleukin 1 receptor accessory protein like 2,1,0,0,0,5,11,,,,0.121,1,Infinity,1.82
ENSG00000205726,intersectin 1,10,16,0,0,19,52,,,,0.121,1,2.76,1.47
ENSG00000091664,solute carrier family 17 member 6,3,5,0,0,0,0,,,,0.122,1,2.41,
ENSG00000091947,transmembrane protein 101,6,10,0,0,0,0,,,,0.122,1,2.41,
ENSG00000099284,macroH2A.2 histone,2,2,0,0,5,20,,,,0.122,1,4.01,1
ENSG00000100445,short chain dehydrogenase/reductase family 39U member 1,8,15,0,0,0,0,,,,0.122,1,2.14,
ENSG00000112293,glycosylphosphatidylinositol specific phospholipase D1,17,46,0,0,0,0,,,,0.122,1,1.48,
ENSG00000119698,protein phosphatase 4 regulatory subunit 4,13,30,0,0,0,0,,,,0.122,1,1.74,
ENSG00000130167,tetraspanin 16,6,9,0,0,0,0,,,,0.122,1,2.68,
ENSG00000136144,RCC1 and BTB domain containing protein 1,12,26,0,0,0,0,,,,0.122,1,1.85,
ENSG00000136169,SET domain bifurcated histone lysine methyltransferase 2,9,14,0,0,0,0,,,,0.122,1,2.58,
ENSG00000144895,eukaryotic translation initiation factor 2A,5,33,0,0,0,0,,,,0.122,1,0.608,
ENSG00000145198,von Willebrand factor A domain containing 5B2,7,4,0,0,0,0,,,,0.122,1,7.03,
ENSG00000157093,lysozyme like 4,3,1,0,0,0,0,,,,0.122,1,12,
ENSG00000160551,TAO kinase 1,4,5,1,4,7,29,,,,0.122,1,2.23,0.969
ENSG00000162695,solute carrier family 30 member 7,13,25,0,0,0,0,,,,0.122,1,2.09,
ENSG00000165914,tetratricopeptide repeat domain 7B,6,8,0,0,0,0,,,,0.122,1,3.01,
ENSG00000166816,lactate dehydrogenase D,4,39,0,0,0,0,,,,0.122,1,0.412,
ENSG00000176222,zinc finger protein 404,8,15,0,0,0,0,,,,0.122,1,2.14,
ENSG00000182040,USH1 protein network component sans,0,11,0,0,0,0,,,,0.122,1,0,
ENSG00000182247,ubiquitin conjugating enzyme E2 E2,2,2,0,0,6,20,,,,0.122,1,4.01,1.2
ENSG00000183617,mitochondrial ribosomal protein L54,6,9,0,0,0,0,,,,0.122,1,2.68,
ENSG00000197579,"TOP1 binding arginine/serine rich protein, E3 ubiquitin ligase",7,18,0,0,0,0,,,,0.122,1,1.56,
ENSG00000198380,glutamine--fructose-6-phosphate transaminase 1,5,9,0,0,11,40,,,,0.122,1,2.23,1.1
ENSG00000204539,corneodesmosin,3,6,0,0,0,0,,,,0.122,1,2.01,
ENSG00000206531,CD200 receptor 1 like,0,15,0,0,0,0,,,,0.122,1,0,
ENSG00000213967,zinc finger protein 726,17,44,0,0,0,0,,,,0.122,1,1.55,
ENSG00000244165,purinergic receptor P2Y11,3,31,0,0,0,0,,,,0.122,1,0.388,
ENSG00000260916,cell cycle progression 1,11,26,0,0,0,0,,,,0.122,1,1.7,
ENSG00000042286,apoptosis inducing factor mitochondria associated 2,2,26,0,0,0,0,,,,0.123,1,0.309,
ENSG00000099917,mediator complex subunit 15,6,9,0,0,0,0,,,,0.123,1,2.68,
ENSG00000102125,tafazzin,1,2,0,0,4,10,,,,0.123,1,2.01,1.61
ENSG00000113231,phosphodiesterase 8B,5,9,0,0,7,36,,,,0.123,1,2.23,0.78
ENSG00000125633,coiled-coil domain containing 93,2,24,0,0,0,0,,,,0.123,1,0.334,
ENSG00000140623,septin 12,12,26,0,0,0,0,,,,0.123,1,1.85,
ENSG00000153071,DAB adaptor protein 2,3,6,0,0,0,0,,,,0.123,1,2.01,
ENSG00000167658,eukaryotic translation elongation factor 2,4,1,0,0,0,0,,,,0.123,1,16.1,
ENSG00000177354,chromosome 10 open reading frame 71,2,25,0,0,0,0,,,,0.123,1,0.321,
ENSG00000181104,coagulation factor II thrombin receptor,0,11,0,0,0,0,,,,0.123,1,0,
ENSG00000198498,translation machinery associated 16 homolog,0,12,0,0,0,0,,,,0.123,1,0,
ENSG00000243414,toll like receptor adaptor molecule 2,3,5,0,0,4,16,,,,0.123,1,2.41,1
ENSG00000005175,RNA polymerase II associated protein 3,10,21,0,0,0,0,,,,0.124,1,1.91,
ENSG00000101292,prokineticin receptor 2,1,18,0,0,0,0,,,,0.124,1,0.223,
ENSG00000111790,FGFR1 oncogene partner 2,5,11,0,0,0,0,,,,0.124,1,1.82,
ENSG00000116981,"5'-nucleotidase, cytosolic IA",0,12,0,0,0,0,,,,0.124,1,0,
ENSG00000120616,enhancer of polycomb homolog 1,3,6,0,0,6,21,,,,0.124,1,2.01,1.34
ENSG00000130226,dipeptidyl peptidase like 6,7,12,0,0,0,0,,,,0.124,1,2.34,
ENSG00000132286,translocase of inner mitochondrial membrane 10B,7,12,0,0,0,0,,,,0.124,1,2.34,
ENSG00000135750,potassium two pore domain channel subfamily K member 1,3,6,0,0,0,0,,,,0.124,1,2.01,
ENSG00000159840,zyxin,2,26,0,0,0,0,,,,0.124,1,0.309,
ENSG00000161681,SH3 and multiple ankyrin repeat domains 1,4,4,0,0,2,6,,,,0.124,1,4.01,1.34
ENSG00000168758,semaphorin 4C,6,6,0,0,7,17,,,,0.124,1,4.01,1.65
ENSG00000168930,tripartite motif containing 49,8,19,2,19,4,25,,,,0.124,1,1.06,0.642
ENSG00000196151,"WD repeat, sterile alpha motif and U-box domain containing 1",7,48,0,0,0,0,,,,0.124,1,0.585,
ENSG00000196963,,3,32,0,0,0,0,,,,0.124,1,0.376,
ENSG00000198604,bromodomain adjacent to zinc finger domain 1A,7,16,0,1,4,8,,,,0.124,1,1.65,2.01
ENSG00000228083,interferon alpha 14,4,5,0,0,0,0,,,,0.124,1,3.21,
ENSG00000256574,olfactory receptor family 13 subfamily A member 1,6,8,0,0,0,0,,,,0.124,1,3.01,
ENSG00000269190,F-box protein 17,10,19,0,0,0,0,,,,0.124,1,2.11,
ENSG00000033100,chondroitin polymerizing factor 2,19,52,0,0,0,0,,,,0.125,1,1.47,
ENSG00000051596,THO complex 3,3,4,0,0,0,0,,,,0.125,1,3.01,
ENSG00000083782,epiphycan,6,12,0,0,0,0,,,,0.125,1,2.01,
ENSG00000102890,engulfment and cell motility 3,18,43,0,0,0,0,,,,0.125,1,1.68,
ENSG00000106070,growth factor receptor bound protein 10,5,6,0,0,7,31,,,,0.125,1,3.35,0.906
ENSG00000119004,cytochrome P450 family 20 subfamily A member 1,4,33,0,0,0,0,,,,0.125,1,0.486,
ENSG00000129009,immunoglobulin superfamily containing leucine rich repeat,0,11,0,0,0,0,,,,0.125,1,0,
ENSG00000135144,deltex E3 ubiquitin ligase 1,4,6,0,0,0,0,,,,0.125,1,2.68,
ENSG00000137843,p21 (RAC1) activated kinase 6,7,13,0,0,0,0,,,,0.125,1,2.16,
ENSG00000137947,general transcription factor IIB,6,9,0,0,3,15,,,,0.125,1,2.68,0.803
ENSG00000149499,EMAP like 3,8,19,0,0,11,15,,,,0.125,1,1.69,2.94
ENSG00000155760,frizzled class receptor 7,6,9,0,0,14,75,,,,0.125,1,2.68,0.749
ENSG00000162341,two pore segment channel 2,8,54,0,0,0,0,,,,0.125,1,0.594,
ENSG00000164692,collagen type I alpha 2 chain,9,20,0,0,3,11,,,,0.125,1,1.81,1.09
ENSG00000168661,zinc finger protein 30,10,22,0,0,0,0,,,,0.125,1,1.82,
ENSG00000183077,arylformamidase,2,24,0,0,0,0,,,,0.125,1,0.334,
ENSG00000005020,src kinase associated phosphoprotein 2,6,12,0,0,0,0,,,,0.126,1,2.01,
ENSG00000010244,zinc finger protein 207,4,7,0,0,0,0,,,,0.126,1,2.29,
ENSG00000078403,MLLT10 histone lysine methyltransferase DOT1L cofactor,5,10,2,5,2,3,,,,0.126,1,1.87,2.68
ENSG00000089057,solute carrier family 23 member 2,5,9,0,0,7,29,,,,0.126,1,2.23,0.969
ENSG00000091542,"alkB homolog 5, RNA demethylase",2,3,2,2,4,12,,,,0.126,1,3.21,1.34
ENSG00000103274,nucleotide binding protein 1,11,25,0,0,0,0,,,,0.126,1,1.77,
ENSG00000105989,Wnt family member 2,3,4,0,0,0,0,,,,0.126,1,3.01,
ENSG00000122574,WAS/WASL interacting protein family member 3,6,12,0,0,0,0,,,,0.126,1,2.01,
ENSG00000131759,retinoic acid receptor alpha,4,5,0,0,14,35,,,,0.126,1,3.21,1.61
ENSG00000133028,synthesis of cytochrome C oxidase 1,6,12,0,0,0,0,,,,0.126,1,2.01,
ENSG00000135912,tubulin tyrosine ligase like 4,18,45,0,0,0,0,,,,0.126,1,1.61,
ENSG00000139324,transmembrane O-mannosyltransferase targeting cadherins 3,13,30,0,0,0,0,,,,0.126,1,1.74,
ENSG00000151657,Kin17 DNA and RNA binding protein,9,20,0,0,0,0,,,,0.126,1,1.81,
ENSG00000155957,transmembrane BAX inhibitor motif containing 4,2,25,0,0,0,0,,,,0.126,1,0.321,
ENSG00000156575,"proteoglycan 3, pro eosinophil major basic protein 2",6,7,0,0,0,0,,,,0.126,1,3.44,
ENSG00000164056,sprouty RTK signaling antagonist 1,6,9,0,0,0,0,,,,0.126,1,2.68,
ENSG00000165120,serine rich single-pass membrane protein 1,4,38,0,0,0,0,,,,0.126,1,0.422,
ENSG00000165156,zinc fingers and homeoboxes 1,4,7,0,0,0,0,,,,0.126,1,2.29,
